group,metric,value,radar_x,radar_y
0_indicators,ind_cap,0.25,0.06470476127563018,0.24148145657226708
0_indicators,ind_cap,0.5,0.12940952255126037,0.48296291314453416
0_indicators,ind_cap,0.75,0.19411428382689055,0.7244443697168013
0_indicators,ind_cap,1,0.25881904510252074,0.9659258262890683
0_indicators,ind_crm,0.25,0.17677669529663687,0.17677669529663692
0_indicators,ind_crm,0.5,0.35355339059327373,0.35355339059327384
0_indicators,ind_crm,0.75,0.5303300858899106,0.5303300858899107
0_indicators,ind_crm,1,0.7071067811865475,0.7071067811865477
0_indicators,ind_dig,0.25,0.24148145657226708,0.06470476127563016
0_indicators,ind_dig,0.5,0.48296291314453416,0.12940952255126031
0_indicators,ind_dig,0.75,0.7244443697168013,0.19411428382689047
0_indicators,ind_dig,1,0.9659258262890683,0.25881904510252063
0_indicators,ind_ffm,0.25,0.24148145657226708,-0.06470476127563018
0_indicators,ind_ffm,0.5,0.48296291314453416,-0.12940952255126037
0_indicators,ind_ffm,0.75,0.7244443697168013,-0.19411428382689055
0_indicators,ind_ffm,1,0.9659258262890683,-0.25881904510252074
0_indicators,ind_hrm,0.25,0.17677669529663687,-0.17677669529663692
0_indicators,ind_hrm,0.5,0.35355339059327373,-0.35355339059327384
0_indicators,ind_hrm,0.75,0.5303300858899106,-0.5303300858899107
0_indicators,ind_hrm,1,0.7071067811865475,-0.7071067811865477
0_indicators,ind_inc,0.25,0.06470476127563018,-0.24148145657226708
0_indicators,ind_inc,0.5,0.12940952255126037,-0.48296291314453416
0_indicators,ind_inc,0.75,0.19411428382689055,-0.7244443697168013
0_indicators,ind_inc,1,0.25881904510252074,-0.9659258262890683
0_indicators,ind_int,0.25,-0.06470476127563027,-0.24148145657226705
0_indicators,ind_int,0.5,-0.12940952255126054,-0.4829629131445341
0_indicators,ind_int,0.75,-0.1941142838268908,-0.7244443697168012
0_indicators,ind_int,1,-0.2588190451025211,-0.9659258262890682
0_indicators,ind_opn,0.25,-0.17677669529663687,-0.1767766952966369
0_indicators,ind_opn,0.5,-0.35355339059327373,-0.3535533905932738
0_indicators,ind_opn,0.75,-0.5303300858899106,-0.5303300858899107
0_indicators,ind_opn,1,-0.7071067811865475,-0.7071067811865476
0_indicators,ind_pol,0.25,-0.24148145657226705,-0.06470476127563025
0_indicators,ind_pol,0.5,-0.4829629131445341,-0.1294095225512605
0_indicators,ind_pol,0.75,-0.7244443697168012,-0.19411428382689078
0_indicators,ind_pol,1,-0.9659258262890682,-0.258819045102521
0_indicators,ind_pro,0.25,-0.24148145657226708,0.0647047612756302
0_indicators,ind_pro,0.5,-0.48296291314453416,0.1294095225512604
0_indicators,ind_pro,0.75,-0.7244443697168013,0.1941142838268906
0_indicators,ind_pro,1,-0.9659258262890683,0.2588190451025208
0_indicators,ind_reg,0.25,-0.17677669529663698,0.17677669529663678
0_indicators,ind_reg,0.5,-0.35355339059327395,0.35355339059327356
0_indicators,ind_reg,0.75,-0.5303300858899109,0.5303300858899104
0_indicators,ind_reg,1,-0.7071067811865479,0.7071067811865471
0_indicators,ind_tax,0.25,-0.06470476127563037,0.24148145657226702
0_indicators,ind_tax,0.5,-0.12940952255126073,0.48296291314453405
0_indicators,ind_tax,0.75,-0.1941142838268911,0.724444369716801
0_indicators,ind_tax,1,-0.25881904510252146,0.9659258262890681
cap,cap_litscore,0.25,0.05563023348907861,0.2437319780454559
cap,cap_litscore,0.5,0.11126046697815722,0.4874639560909118
cap,cap_litscore,0.75,0.16689070046723584,0.7311959341363677
cap,cap_litscore,1,0.22252093395631445,0.9749279121818236
cap,cap_numscore,0.25,0.1558724504646834,0.19545787061700742
cap,cap_numscore,0.5,0.3117449009293668,0.39091574123401485
cap,cap_numscore,0.75,0.4676173513940502,0.5863736118510223
cap,cap_numscore,1,0.6234898018587336,0.7818314824680297
cap,cap_pslscore,0.25,0.2252422169756048,0.10847093477938953
cap,cap_pslscore,0.5,0.4504844339512096,0.21694186955877906
cap,cap_pslscore,0.75,0.6757266509268144,0.3254128043381686
cap,cap_pslscore,1,0.9009688679024191,0.4338837391175581
cap,cap_tertedu,0.25,0.25,-0
cap,cap_tertedu,0.5,0.5,-0
cap,cap_tertedu,0.75,0.75,-0
cap,cap_tertedu,1,1,-0
cap,cap_ictwork,0.25,0.2252422169756048,-0.10847093477938953
cap,cap_ictwork,0.5,0.4504844339512096,-0.21694186955877906
cap,cap_ictwork,0.75,0.6757266509268144,-0.3254128043381686
cap,cap_ictwork,1,0.9009688679024191,-0.4338837391175581
cap,cap_numwork,0.25,0.1558724504646834,-0.19545787061700742
cap,cap_numwork,0.5,0.3117449009293668,-0.39091574123401485
cap,cap_numwork,0.75,0.4676173513940502,-0.5863736118510223
cap,cap_numwork,1,0.6234898018587336,-0.7818314824680297
cap,cap_readwork,0.25,0.05563023348907861,-0.2437319780454559
cap,cap_readwork,0.5,0.11126046697815722,-0.4874639560909118
cap,cap_readwork,0.75,0.16689070046723584,-0.7311959341363677
cap,cap_readwork,1,0.22252093395631445,-0.9749279121818236
cap,cap_writwork,0.25,-0.055630233489078584,-0.2437319780454559
cap,cap_writwork,0.5,-0.11126046697815717,-0.4874639560909118
cap,cap_writwork,0.75,-0.16689070046723575,-0.7311959341363677
cap,cap_writwork,1,-0.22252093395631434,-0.9749279121818236
cap,cap_influence,0.25,-0.15587245046468334,-0.19545787061700748
cap,cap_influence,0.5,-0.3117449009293667,-0.39091574123401496
cap,cap_influence,0.75,-0.46761735139405003,-0.5863736118510224
cap,cap_influence,1,-0.6234898018587334,-0.7818314824680299
